Timestamp :),Title,"First Author (Last, First) (no middle initials)",Publication Date (YYYY-MM),"Reviewer (your name, First Last i.e. Meghan Cum)","Verifier (name, good or bad)","Meets the sufficient criteria: uses mice or rats, is not a review or protocol paper, tests for social memory/recognition/discrimination",Species,Wild Rodents Used? (like literally caught from the wild),Subject Strain  (i.e. C57BL6J or Sprague-Dawley) if multiple strains were used separate them by a semi colon and if mixed state mixed i.e. 129/SvJ mixed C57BL/6J; 129/SvJ mixed Swiss black,Final Strain,Subject Type,Subject Age,Subject Sex,Subject Housing,"Social Agent: degree of familiarity (if subject is exposed to a social agent ONLY twice, each trial being 5 or less minutes, the degree of familiarity is 5 min or less, NOT the total time exposed to the social agent) ",Was odor used?,Subject Social Rank,Intertrial Interval (ITI) (time between trials),Social Agent Strain ,Social Agent Age (check all that apply),Social Agent Sex,"If female, ovariectiomized?",Social Agent Identity,Social Agent Housing,Social Agent Rank,Social Agent Type,Social Discrimination Tested? i.e. novel and familiar social agents presented at the *same time* to the subject,Additional novel social agent used at all? ,Qualities Shared w/ Subject Mouse (i.e. same age between social agents and subject) [Social Agent],Do you have questions on this paper/should Meghan look this one over? ,"If you answered yes to the previous question, what concerns/questions did you have specifically on this paper? "
3/25/2022 13:09:46,Inhibiting constitutive neurogenesis compromises long-term social recognition memory,"Pereira-Caixeta, Ana",2018-11,Naeliz Lopez,,yes,Mice,no,Swiss mice,Swiss,WT (wild type),young adult (8-12 weeks),Male,group-housed,5 min exposure or less,animals always present,Does not specify,over 6 hr - 24 hr,Swiss mice,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,group-housed,Does not specify,WT (wild type),no,No,"Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
3/25/2022 13:50:47,Analysis of Social Process in Two Inbred Strains of Male Mice: A Predominance of Contact-Based Investigation in BALB/c Mice,"Arakawa, Hiroyuki",2018-01,Naeliz Lopez,,yes,Mice,no,C57BL/6J; BALB/cJ,"C57BL/6, other mouse",WT (wild type),adult (12-24 weeks),Male,group-housed,"6 minutes, cagemate",animals always present,Does not specify,over 5 min - less than an hour,129/SvJ; DBA/2J,"juvenile (3-7 weeks or week not specified), adult (12-24 weeks)","same sex as subject, always male",,"juvenile male, adult male",group-housed,Does not specify,WT (wild type),yes,Yes,"Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
3/25/2022 15:00:05,The reduction in glutamate release is predictive of cognitive and emotional alterations that are corrected by the positive modulator of AMPA receptors S 47445 in perinatal stressed rats,"Morley-Fletcher, Sara",2018-06,Naeliz Lopez,,yes,Rats,no,Sprague-Dawley Rats,Sprague Dawley,WT (wild type),adult (12-24 weeks),Male,group-housed,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,Does not specify,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,group-housed,Does not specify,WT (wild type),no,No,"Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
3/28/2022 12:00:00,"Early signs of colonic inflammation, intestinal dysfunction, and olfactory impairments in the rotenone-induced mouse model of Parkinson’s disease","Morais, Lívia",2018-04,Naeliz Lopez ,,yes,Mice,no,Swiss Mice,Swiss,WT (wild type),young adult (8-12 weeks),Male,"group-housed, singly-housed for more than a few hours and less than a week",5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,Swiss mice,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,Does not specify,Does not specify,WT (wild type),no,No,"Sex, Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
3/28/2022 12:12:24,Modeling the quantitative nature of neurodevelopmental disorders using Collaborative Cross mice,"Molenhuis, Remco",2018-12,Naeliz Lopez,,yes,Mice,no,Does not specify ,Does not specify,WT (wild type),Does not specify,Male,group-housed,5 min exposure or less,animals always present,Does not specify,1-5 minutes,Does not specify,Does not specify,"same sex as subject, always male",,not specified male,group-housed,Does not specify,WT (wild type),yes,Yes,"Age, Sex, Housing History, Type (WT vs transgenic)","Yes, this one was tricky.","Couldn't find the subject/SA strain and age. the best they give me is that they are ""age-gendered match"" so I know in qualities share the same. "
3/28/2022 12:24:11,"The anti-epileptogenic and cognition enhancing effect of novel 1-[4-(4-benzo [1, 3] dioxol-5-ylmethyl-piperazin-1-yl)-phenyl]-3-phenyl-urea (BPPU) in pentylenetetrazole induced chronic rat model of epilepsy","Mishra, Chandra Bhushan",2018-09,Naeliz Lopez,,yes,Rats,no,Wistar Rats,Wistar,WT (wild type),"juvenile (3-7 weeks or week not specified), young adult (8-12 weeks)",Male,singly-housed,5 min exposure or less,animals always present,Does not specify,1-6 hr,Wistar Rats,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,Does not specify,Does not specify,WT (wild type),no,No,"Sex, Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
3/28/2022 12:36:28,A hippocampal circuit linking dorsal CA2 to ventral CA1 critical for social memory dynamics,"Meira, Torcato",2018-10,Naeliz Lopez,,yes,Mice,no,C57BL/6J,C57BL/6,both,"young adult (8-12 weeks), adult (12-24 weeks), adult (24-40 weeks)",Male,group-housed,5 min exposure or less,animals always present,Does not specify,"over 5 min - less than an hour, over 6 hr - 24 hr",C57BL/6J,"juvenile (3-7 weeks or week not specified), young adult (8-12 weeks), adult (12-24 weeks), adult (24-40 weeks)","same sex as subject, always male",,"juvenile male, adult male",group-housed,Does not specify,WT (wild type),yes,Yes,"Sex, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
3/28/2022 13:05:15,Conditional Deletion of Hippocampal CA2/CA3a Oxytocin Receptors Impairs the Persistence of Long-Term Social Recognition Memory in Mice,"Lin, Yu-Ting",2018-01,Naeliz Lopez,,yes,Mice,no,C57BL/6,C57BL/6,both,young adult (8-12 weeks),Male,group-housed,5 min exposure or less,animals always present,Does not specify,no ITI,C57BL/6,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,group-housed,Does not specify,WT (wild type),yes,Yes,"Sex, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
3/28/2022 13:09:45,mGluR5 upregulation and the effects of repeated methamphetamine administration and withdrawal on the rewarding efficacy of ketamine and social interaction,"Liao, Yi-Han",2018-12,Naeliz Lopez,"Erika Wangia, good",yes,Mice,no,C57BL/6,C57BL/6,WT (wild type),young adult (8-12 weeks),Male,group-housed,10 minutes,animals always present,Does not specify,not specified,Does not specify,Does not specify,Does not specify,,does not specify,Does not specify,Does not specify,WT (wild type),yes,Yes,Type (WT vs transgenic),"No, I feel confident, and I double-checked all my answers before submitting.",
3/28/2022 13:56:20,"Improvement of dizocilpine-induced social recognition deficits in mice by brexpiprazole, a novel serotonin–dopamine activity modulator","Yoshimi, Noriko",2015-03,Meghan Cum,,yes,Mice,no,C57BL/6N,C57BL/6,WT (wild type),young adult (8-12 weeks),Male,group-housed,6 minutes,animals always present,Does not specify,not specified,C57BL/6NCrSlc,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,group-housed,Does not specify,WT (wild type),yes,Yes,"Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
3/28/2022 14:36:45,(−)Epigallocatechin-3-gallate prevents the reserpine-induced impairment of short-term social memory in rats,"Tseng, Hsiang-Chien ",2015-12,Meghan Cum,,yes,Rats,no,Wistar,Wistar,WT (wild type),adult (12-24 weeks),Male,singly-housed,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,Does not specify ,juvenile (3-7 weeks or week not specified),Does not specify,,juvenile not specified,group-housed,Does not specify,WT (wild type),no,No,Type (WT vs transgenic),"No, I feel confident, and I double-checked all my answers before submitting.",
3/29/2022 10:02:36,Nitric oxide pathway activity modulation alters the protective effects of (-)Epigallocatechin-3-gallate on reserpine-induced impairment in rats,"Chen, Cheng-Neng",2016-05,Jocelyn Santiago Perez,,yes,Rats,no,Wistar rats,Wistar,WT (wild type),adult (12-24 weeks),Male,group-housed,5 min exposure or less,only odor was used (no animals present),Does not specify,over 5 min - less than an hour,Does not specify,Does not specify,Does not specify,,does not specify,Does not specify,Does not specify,WT (wild type),no,No,Type (WT vs transgenic),"No, I feel confident, and I double-checked all my answers before submitting.",
3/29/2022 11:12:30,Frontal Lobe Contusion in Mice Chronically Impairs Prefrontal-Dependent Behavior,"Chou, Austin",2016-03,Jocelyn Santiago Perez,,yes,Mice,no,C57B6/J,C57BL/6,WT (wild type),adult (12-24 weeks),Male,group-housed,5 min exposure or less,animals always present,Does not specify,not specified,Does not specify,Does not specify,Does not specify,,does not specify,Does not specify,Does not specify,WT (wild type),yes,Yes,Type (WT vs transgenic),"No, I feel confident, and I double-checked all my answers before submitting.",
3/29/2022 16:31:43,Different types of theta rhythmicity are induced by social and fearful stimuli in a network associated with social memory,"Tendler, Alex",2015-02,Meghan Cum,,yes,Rats,no,Sprague-Dawley,Sprague Dawley,WT (wild type),juvenile (3-7 weeks or week not specified),Male,group-housed,15 minutes,animals always present,Does not specify,not specified,"Sprague-Dawley, Wistar Hola/Hannover",juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,group-housed,Does not specify,WT (wild type),no,Yes,"Age, Sex, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
3/29/2022 20:26:14,"Dysregulation of miR-15a-5p, miR-497a-5p and miR-511-5p Is Associated with Modulation of BDNF and FKBP5 in Brain Areas of PTSD-Related Susceptible and Resilient Mice ","Maurel, Oriana; Torrisi, Sebastiano",2021-05,Erika Wangia,,yes,Mice,no,C57BL6/J,C57BL/6,WT (wild type),adult (12-24 weeks),Male,group-housed,5 min exposure or less,animals always present,Does not specify,not specified,C57BL6/J,juvenile (3-7 weeks or week not specified),always male,,juvenile male,group-housed,Does not specify,WT (wild type),no,No,"Sex, Strain, Type (WT vs transgenic)","Yes, this one was tricky.",I think they siad they used the methods written in a different paper but I'm not sure if that is the case; my responses assume they did.
3/30/2022 12:10:29,Binge-like ingestion of a combination of an energy drink and alcohol leads to cognitive deficits and motivational changes,"Takahashi, Tatiane ",2015-09,Meghan Cum,,yes,Rats,no,Wistar ,Wistar,WT (wild type),young adult (8-12 weeks),Male,singly-housed for more than a few hours and less than a week,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,Wistar,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,group-housed,Does not specify,WT (wild type),yes,Yes,"Sex, Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
3/30/2022 12:39:43,Ethanol Exposure Induces Neonatal Neurodegeneration by Enhancing CB1R Exon1 Histone H4K8 Acetylation and Up-regulating CB1R Function causing Neurobehavioral Abnormalities in Adult Mice,"Subbanna, Shivakumar",2015-01,Meghan Cum,,yes,Mice,no,C57BL/6J,C57BL/6,both,adult (12-24 weeks),Male,group-housed,5 min exposure or less,animals always present,Does not specify,not specified,Does not specify ,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,Does not specify,Does not specify,WT (wild type),no,No,Sex,"No, I feel confident, and I double-checked all my answers before submitting.",
3/30/2022 12:47:07,Hyperactivity and lack of social discrimination in the adolescent Fmr1 knockout mouse,"Sørensen, Emilie",2015-12,Meghan Cum,"Erika Wangia, good",yes,Mice,no,C57BL/6,C57BL/6,both,young adult (8-12 weeks),Male,group-housed,10 minutes,animals always present,Does not specify,no ITI,Does not specify ,young adult (8-12 weeks),"same sex as subject, always male",,adult male,Does not specify,Does not specify,WT (wild type),yes,Yes,"Age, Sex","No, I feel confident, and I double-checked all my answers before submitting.",
3/30/2022 13:25:51,Immune Deficiency Influences Juvenile Social Behavior and Maternal Behavior,"Quinnies, Kayla",2015-06,Meghan Cum,"Erika Wangia, good",yes,Mice,no,C57BL/6J,C57BL/6,both,juvenile (3-7 weeks or week not specified),Male,group-housed,7 minutes,animals always present,Does not specify,over 5 min - less than an hour,C57BL/6J,adult (week not specified),"opposite sex as subject, always female",Yes,ovariectomized female,Does not specify,Does not specify,WT (wild type),no,Yes,Strain,"No, I feel confident, and I double-checked all my answers before submitting.",
3/30/2022 13:35:06,Timing of presentation and nature of stimuli determine retroactive interference with social recognition memory in mice,"Perna, Judith",2015-05,Meghan Cum,"Naeliz, good",yes,Mice,no,C57BL/6JOlaHsd,C57BL/6,WT (wild type),"young adult (8-12 weeks), adult (12-24 weeks)",Male,group-housed,5 min exposure or less,animals always present,Does not specify,over 6 hr - 24 hr,C57BL/6JOlaHsd,juvenile (3-7 weeks or week not specified),Uses both,No,"juvenile male, juvenile female",Does not specify,Does not specify,WT (wild type),yes,Yes,"Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
3/30/2022 13:46:47,Developmental exposure to manganese induces lasting motor and cognitive impairment in rats,"Peres, Tanara",2015-09,Meghan Cum,,yes,Rats,no,Wistar,Wistar,WT (wild type),young adult (8-12 weeks),Male,group-housed,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,Does not specify ,juvenile (3-7 weeks or week not specified),Does not specify,,juvenile not specified,group-housed,Does not specify,WT (wild type),no,No,Housing History,"No, I feel confident, and I double-checked all my answers before submitting.",
3/30/2022 14:01:39,Consequences of temporary inhibition of the medial amygdala on social recognition memory performance in mice,"Noack, Julia",2015-04,Meghan Cum,,yes,Mice,no,C57BL/6JOlaHsd,C57BL/6,WT (wild type),"young adult (8-12 weeks), adult (12-24 weeks)",Male,group-housed,5 min exposure or less,animals always present,Does not specify,over 6 hr - 24 hr,C57BL/6JOlaHsd,juvenile (3-7 weeks or week not specified),Uses both,No,"juvenile male, juvenile female",Does not specify,Does not specify,WT (wild type),yes,Yes,"Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
3/30/2022 16:56:38,Possible contribution of epigenetic changes in the development of schizophrenia-like behavior in vasopressin-deficient Brattleboro rats,"Demeter, Kornel",2016-03,Jocelyn Santiago Perez,,yes,Rats,no,Brattleboro rats,Brattleboro,WT (wild type),young adult (8-12 weeks),Male,group-housed,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,Does not specify,infant (0-21 days),Does not specify,,infant not specified,Does not specify,Does not specify,WT (wild type),yes,Yes,Type (WT vs transgenic),"No, I feel confident, and I double-checked all my answers before submitting.",
3/30/2022 17:41:09,"Prosocial effects of prolactin in male rats: Social recognition, social approach and social learning","Donhoffner, Mary",2017-11,Ryo Iwata,"Meghan, good",yes,Rats,no,Long-Evans rats ,Long Evans,WT (wild type),Does not specify,Male,group-housed,5 min exposure or less,animals always present,"Defeated, Does not specify","over 5 min - less than an hour, 1-6 hr",Does not specify,Does not specify,"opposite sex as subject, always female",Yes,ovariectomized female,Does not specify,Does not specify,WT (wild type),yes,Yes,Type (WT vs transgenic),"No, I feel confident, and I double-checked all my answers before submitting.","Includes both social recognition test and a test with a aggressive rat. Should we put the social rank for both experiments? And for the social rank, if the subject was exposed to an aggresive rat once would I categorize it as ""defeated?"" Checked the slides, but wasn't sure if one time was suffecient. Thanks for answering out questions!"
3/30/2022 19:59:15,Repeated isoflurane in adult male mice leads to acute and persistent motor decrements with long-term modifications in corpus callosum microstructural integrity,"Bajwa, Nikita",2019-02,Amelia Chambers,"Amelia Chambers, good",yes,Mice,no,C57BL/6J,C57BL/6,WT (wild type),adult (12-24 weeks),Male,singly-housed,5 min exposure or less,animals always present,Does not specify,1-5 minutes,Does not specify,Does not specify,always male,,not specified male,Does not specify,Does not specify,WT (wild type),yes,Yes,Sex,"No, I feel confident, and I double-checked all my answers before submitting.",
4/1/2022 14:17:54,Adolescent Isolation Interacts With DISC1 Point Mutation to Impair Adult Social Memory and Synaptic Functions in the Hippocampus,"Li, Nan",2018-08,Naeliz Lopez,,yes,Mice,no,C57BL/6J,C57BL/6,WT (wild type),adult (12-24 weeks),Male,group-housed,10 minutes,animals always present,Does not specify,not specified,C57BL/6J,Does not specify,"opposite sex as subject, always female",Yes,ovariectomized female,group-housed,Does not specify,WT (wild type),yes,Yes,"Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/1/2022 14:50:05,Impaired social behaviors and minimized oxytocin signaling of the adult mice deficient in the N-methyl-d-aspartate receptor GluN3A subunit,"Lee, Jin Hwan",2018-07,Naeliz Lopez,,yes,Mice,no,129/SvJ mixed Swiss black,mix,both,adult (12-24 weeks),Male,group-housed,"5 min exposure or less, 10 minutes",animals always present,Does not specify,"Does not specify, 1-6 hr",Does not specify,adult (12-24 weeks),"same sex as subject, always male",,adult male,Does not specify,Does not specify,WT (wild type),yes,Yes,"Age, Sex, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/1/2022 15:07:22,Peripheral T Cells as a Biomarker for Oxygen-Ion-Radiation-Induced Social Impairments,"Krukowski, Karen",2018-05,Naeliz Lopez,"Meghan, bad",yes,Mice,no,C57Bl/6J,C57BL/6,WT (wild type),adult (24-40 weeks),Male,group-housed,10 minutes,animals always present,Does not specify,not specified,C57Bl/6J,adult (24-40 weeks),"same sex as subject, always male",,adult male,group-housed,Does not specify,WT (wild type),yes,Yes,"Age, Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.","10 min for familiar even if only the first five were scored, social ranks if unknown are not shared qualities"
4/1/2022 15:33:29,Quantitative trait locus mapping and analysis of heritable variation in affiliative social behavior and co-occurring traits,"Knoll, A",2018-,Naeliz Lopez,,yes,Mice,no,C57BL/6,C57BL/6,WT (wild type),adult (12-24 weeks),Male,group-housed,10 minutes,animals always present,Does not specify,not specified,C57BL/6,young adult (8-12 weeks),"same sex as subject, always male",,adult male,"group-housed, singly-housed",Does not specify,WT (wild type),yes,Yes,"Age, Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/1/2022 16:11:11,Prenatal alcohol exposure disrupts male adolescent social behavior and oxytocin receptor binding in rodents,"Holman, Parker",2018-09,Naeliz Lopez,Meghan badish (author name spelled wrong),yes,Rats,no,Sprague-Dawley Rats,Sprague Dawley,WT (wild type),juvenile (3-7 weeks or week not specified),Male,"group-housed, singly-housed for more than a few hours and less than a week",5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,Sprague-Dawley Rats,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,group-housed,Does not specify,WT (wild type),yes,Yes,"Age, Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/4/2022 12:19:19,"Antibiotic-induced microbiota perturbation causes gut endocannabinoidome changes, hippocampal neuroglial reorganization and depression in mice","Guida, F",2018-01,Naeliz Lopez,,yes,Mice,no,C57/BL6,C57BL/6,WT (wild type),young adult (8-12 weeks),Male,Does not specify,10 minutes,animals always present,Does not specify,not specified,C57BL/6,juvenile (3-7 weeks or week not specified),always male,,juvenile male,Does not specify,Does not specify,WT (wild type),yes,Yes,"Sex, Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/4/2022 12:26:15,Methylphenidate induces state-dependency of social recognition learning: Central components,"Garrido, Carolina",2018-03,Naeliz Lopez,,yes,Rats,no,Wistar Rats,Wistar,WT (wild type),adult (12-24 weeks),Male,group-housed,60 minutes,animals always present,Does not specify,over 6 hr - 24 hr,Wistar Rats,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,group-housed,Does not specify,WT (wild type),yes,Yes,"Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/4/2022 12:44:36,Cannabinoids prevent depressive-like symptoms and alterations in BDNF expression in a rat model of PTSD,"Burstein, Or",2018-06,Naeliz Lopez,,yes,Rats,no,Sprague-Dawley,Sprague Dawley,WT (wild type),young adult (8-12 weeks),Male,group-housed,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,Sprague-Dawley,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,group-housed,Does not specify,WT (wild type),yes,Yes,"Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/4/2022 13:58:26,Cocaine- and Amphetamine-Regulated Transcript Peptide (CART) Alleviates MK-801-Induced Schizophrenic Dementia-Like Symptoms,"Borkar, Chandrashekhar",2018-04,Naeliz Lopez,,yes,Rats,no,Wistar,Wistar,WT (wild type),adult (12-24 weeks),Male,group-housed,5 min exposure or less,animals always present,Does not specify,"over 5 min - less than an hour, over 6 hr - 24 hr",Wistar,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,group-housed,Does not specify,WT (wild type),no,Yes,"Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/4/2022 14:02:05,5-HT6 receptor agonist and antagonist modulates ICV-STZ-induced memory impairment in rats,"Bokare, Anand",2018-03,Naeliz Lopez,,yes,Rats,no,Wistar,Wistar,WT (wild type),young adult (8-12 weeks),Male,singly-housed,5 min exposure or less,animals always present,Does not specify,1-6 hr,Wistar,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,Does not specify,Does not specify,WT (wild type),no,No,"Sex, Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/4/2022 14:08:04,Social Memory and Social Patterns Alterations in the Absence of STriatal-Enriched Protein Tyrosine Phosphatase,"Blázquez, Gloria",2018-01,Naeliz Lopez,,yes,Mice,no,C57BL/6J,C57BL/6,both,adult (24-40 weeks),Male,group-housed,"5 min exposure or less, 10 minutes",animals always present,Does not specify,"over 5 min - less than an hour, 1-6 hr",C57BL/6j,"juvenile (3-7 weeks or week not specified), adult (24-40 weeks)",Uses both,No,"jvenile unspecified, adult male, adult intact female",Does not specify,Does not specify,WT (wild type),yes,Yes,"Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/4/2022 14:31:18,Therapeutic Effects of Transplantation of As-MiR-937-Expressing Mesenchymal Stem Cells in Murine Model of Alzheimer's Disease,"Liu, Zhen",2015-08,Meghan Cum,,yes,Mice,no,C57BL/6,C57BL/6,"transgenic (Cre or Flp line, KO line)",adult (24-40 weeks),Male,singly-housed,15 minutes,animals always present,Does not specify,over 5 min - less than an hour,Swiss,juvenile (3-7 weeks or week not specified),always male,,juvenile male,Does not specify,Does not specify,WT (wild type),no,Yes,None,"No, I feel confident, and I double-checked all my answers before submitting.",
4/4/2022 15:12:00,Improved neuroprotective effects of resveratrol-loaded polysorbate 80-coated poly(lactide) nanoparticles in MPTP-induced Parkinsonism,"da Rocha Lindner, Gabriela ",2015-05,Meghan Cum,,yes,Mice,no,C57BL/6,C57BL/6,WT (wild type),adult (12-24 weeks),Male,singly-housed for more than a few hours and less than a week,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,Does not specify ,juvenile (3-7 weeks or week not specified),Does not specify,,juvenile not specified,group-housed,Does not specify,WT (wild type),no,No,Type (WT vs transgenic),"No, I feel confident, and I double-checked all my answers before submitting.",
4/4/2022 15:20:48,A neuroligin-1-derived peptide stimulates phosphorylation of the NMDA receptor NR1 subunit and rescues MK-801-induced decrease in long-term potentiation and memory impairment,"Korshunova, Irina ",2015-03,Meghan Cum,,yes,Rats,no,Wistar,Wistar,WT (wild type),adult (week not specified),Male,group-housed,"5 min exposure or less, 8 minutes",animals always present,Does not specify,"1-6 hr, over 6 hr - 24 hr",Does not specify ,juvenile (3-7 weeks or week not specified),Does not specify,,juvenile not specified,group-housed,Does not specify,WT (wild type),no,Yes,"Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/4/2022 16:22:19,Hippocampal neuroligin-2 links early-life stress with impaired social recognition and increased aggression in adult mice,"Kohl, Christine",2015-05,Meghan Cum,,yes,Mice,no,C57Bl/6,C57BL/6,both,young adult (8-12 weeks),Male,singly-housed,10 minutes,animals always present,Does not specify,over 5 min - less than an hour,C57BL/6,juvenile (3-7 weeks or week not specified),Does not specify,,juvenile not specified,Does not specify,Does not specify,WT (wild type),yes,Yes,Strain,"No, I feel confident, and I double-checked all my answers before submitting.",
4/4/2022 16:38:41,Characterization of Cognitive Deficits in Mice With an Alternating Hemiplegia-Linked Mutation,"Kirshenbaum, Greer",2015-10,Meghan Cum,,yes,Mice,no,C57BL/6N,C57BL/6,both,adult (12-24 weeks),Male,group-housed,"5 min exposure or less, 10 minutes",animals always present,Does not specify,over 6 hr - 24 hr,C57BL/6N,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,Does not specify,Does not specify,WT (wild type),no,No,"Sex, Strain","No, I feel confident, and I double-checked all my answers before submitting.",
4/5/2022 12:46:32,Single intracerebroventricular administration of amyloid-beta (25–35) peptide induces impairment in short-term rather than long-term memory in rats,"Stepanichev, M.Yu",2003-07,Naeliz Lopez,,yes,Rats,no,Wistar,Wistar,WT (wild type),young adult (8-12 weeks),Male,"group-housed, singly-housed",5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,Wistar,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,"group-housed, singly-housed",Does not specify,WT (wild type),no,No,"Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/5/2022 12:52:11,Two Novel and Selective Nonimidazole H3 Receptor Antagonists A-304121 and A-317920: II. In Vivo Behavioral and Neurophysiological Characterization,"Fox, Gerard",2003-06,Naeliz Lopez,,yes,Rats,no,Sprague-Dawley,Sprague Dawley,WT (wild type),adult (week not specified),Male,singly-housed,5 min exposure or less,animals always present,Does not specify,1-6 hr,Sprague-Dawley,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,Does not specify,Does not specify,WT (wild type),no,Yes,"Sex, Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/5/2022 14:47:51,Ethanol improves short-term social memory in rats. Involvement of opioid and muscarinic receptors,"Prediger, Rui",2003-02,Naeliz Lopez,,yes,Rats,no,Wistar,Wistar,WT (wild type),adult (12-24 weeks),Male,singly-housed,5 min exposure or less,animals always present,Does not specify,"over 5 min - less than an hour, 1-6 hr",Wistar,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,group-housed,Does not specify,WT (wild type),no,No,"Sex, Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
4/5/2022 14:55:59,"Modification of Social Memory, Hypothalamic-Pituitary-Adrenal Axis, and Brain Asymmetry by Neonatal Novelty Exposure","Tang, Akaysha",2003-10,Naeliz Lopez,,yes,Rats,no,Long Evans,Long Evans,WT (wild type),adult (24-40 weeks),Male,singly-housed,15 minutes,animals always present,Does not specify,"1-5 minutes, over 5 min - less than an hour",Does not specify,juvenile (3-7 weeks or week not specified),Does not specify,,juvenile not specified,Does not specify,Does not specify,WT (wild type),no,Yes,Type (WT vs transgenic),"No, I feel confident, and I double-checked all my answers before submitting.",
4/5/2022 15:04:52,Viral vector-mediated gene transfer of the vole V1a vasopressin receptor in the rat septum: improved social discrimination and active social behaviour,"Landgraf, Rainer",2003-07,Naeliz Lopez,,yes,Rats,no,Wistar,Wistar,WT (wild type),Does not specify,Male,singly-housed,5 min exposure or less,animals always present,Does not specify,"over 5 min - less than an hour, 1-6 hr, over 6 hr - 24 hr, over 24 hrs",Wistar,juvenile (3-7 weeks or week not specified),Does not specify,,juvenile not specified,Does not specify,Does not specify,WT (wild type),yes,Yes,"Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
